Equipo;CB;VB;H;AVE;2B;3B;HR;TB;SLU;CI;CCR;BB;SO
img1;2408;2044;632;0.309;119;6;38;877;0.429;333;342.1;271;233
img2;2259;1904;561;0.295;97;5;35;773;0.406;307;287.7;235;234
img3;2295;1985;561;0.283;102;9;28;765;0.385;280;273.2;230;317
img4;2407;2085;604;0.290;95;11;37;832;0.399;262;295.3;211;276
img5;2579;2161;731;0.338;141;5;80;1122;0.519;452;474.0;315;256
img6;2372;1993;586;0.294;111;13;34;825;0.414;343;310.5;263;257
img7;2323;1978;524;0.265;93;9;23;704;0.356;240;240.2;229;287
img8;1974;1710;452;0.264;75;9;14;587;0.343;193;196.5;181;302
img9;2284;1944;563;0.290;95;11;34;782;0.402;303;285.5;231;271
img10;2373;2018;654;0.324;123;12;45;936;0.464;359;378.7;273;229
img11;2346;1966;602;0.306;106;9;49;873;0.444;343;339.5;266;225
img12;2479;2090;667;0.319;94;17;56;963;0.461;380;407.0;289;239
img13;2451;2163;722;0.334;99;9;75;1058;0.489;417;412.8;200;206
